Rk,Player,Tm,Cap Hit,2012-13,2013-14,2014-15,2015-16,2016-17,Signed Using,Guaranteed
138,Jason Terry,BOS,5000000,5000000,5225000,5450000,,,MLE,15675000
139,Courtney Lee,BOS,5000000,5000000,5225000,5450000,5675000,,Bird Rights,21350000
140,Louis Williams,ATL,5000000,5000000,5225000,5450000,,,MLE,15675000
141,Kyle Korver,ATL,5000000,5000000,,,,,Cap Space,5000000
142,Robin Lopez,NOH,4899293,4899293,5119761,5340229,,,Bird Rights,4899293
143,Nikola Pekovic,MIN,4837200,4837200,,,,,Cap Space,4837200
144,Derrick Williams,MIN,4809840,4809840,5016960,6331404,,,1st Round Pick,9826800
145,Luc Mbah a Moute,MIL,4794192,4794192,4588384,4382576,,,Bird Rights,13765152
146,Daniel Gibson,CLE,4792332,4792332,,,,,Early Bird Rights,4792332
147,Derrick Favors,UTA,4753320,4753320,6008196,,,,1st Round Pick,10761516
148,Michael Kidd-Gilchrist,CHA,4602720,4602720,4809840,5016960,6331404,,1st Round Pick,9412160
149,Linas Kleiza,TOR,4600000,4600000,4600000,,,,MLE,4600000
150,Marcus Camby,NYK,4590338,4590338,4383773,4177208,,,Bird Rights,10000000
151,Boris Diaw,SAS,4500000,4500000,4702500,,,,MLE,4500000
152,Jonas Jerebko,DET,4500000,4500000,4500000,4500000,,,Early Bird Rights,9000000
153,J.J. Barea,MIN,4493500,4493500,4687000,4519500,,,Cap Space,13700000
154,Enes Kanter,UTA,4319280,4319280,4505280,5694674,,,1st Round Pick,8824560
155,Wesley Johnson,PHO,4285560,4285560,,,,,1st Round Pick,4285560
156,Ben Wallace,DET,4268160,,,,,,,
157,Jared Dudley,PHO,4250000,4250000,4250000,4250000,4250000,,Bird Rights,17000000
158,Marreese Speights,CLE,4200000,4200000,4515000,,,,Bird Rights,4200000
159,Luis Scola,PHO,4148510,4148510,4508504,4868499,,,Cap Space,13525513
160,Bradley Beal,WAS,4133280,4133280,4319280,4505280,5694674,,1st Round Pick,8452560
161,Dorell Wright,PHI,4106000,4106000,,,,,MLE,4106000
162,Udonis Haslem,MIA,4060000,4060000,4340000,4620000,,,Cap Space,8400000
163,Steve Novak,NYK,4054054,4054054,3750000,3445946,3750000,,Early Bird Rights,15000000
164,O.J. Mayo,DAL,4020000,4020000,4200900,,,,Cap Space,4020000
165,J.J. Hickson,POR,4000000,4000000,,,,,Bird Rights,4000000
166,Hakim Warrick,ORL,4000000,4000000,,,,,,4000000
167,Luke Ridnour,MIN,4000000,4000000,4320000,,,,Cap Space,8320000
168,Mario Chalmers,MIA,4000000,4000000,4000000,,,,Bird Rights,4000000
169,Steve Blake,LAL,4000000,4000000,4000000,,,,MLE,8000000
170,Chauncey Billups,LAC,4000000,4000000,,,,,Bird Rights,4000000
171,Ian Mahinmi,IND,4000000,4000000,4000000,4000000,4000000,,Early Bird Rights,16000000
172,Carl Landry,GSW,4000000,4000000,4000000,,,,MLE,4000000
173,Brandon Rush,GSW,4000000,4000000,4000000,,,,Bird Rights,4000000
174,Anthony Morrow,DAL,4000000,4000000,,,,,Early Bird Rights,4000000
175,Stephen Curry,GSW,3958742,3958742,9887642,10629213,11370786,12112359,1st Round Pick,47958742
176,Tiago Splitter,SAS,3944000,3944000,,,,,MLE,3944000
177,Kirk Hinrich,CHI,3941000,3941000,4059000,,,,MLE,8000000
178,Tristan Thompson,CLE,3894240,3894240,4062000,5138430,,,1st Round Pick,7956240
179,DeMarcus Cousins,SAC,3880800,3880800,4916974,,,,1st Round Pick,8797774
180,Roshown McLeod,BOS,3772503,,,,,,,
181,Mike Dunleavy,MIL,3750000,3750000,,,,,Cap Space,3750000
182,Joel Anthony,MIA,3750000,3750000,3800000,3800000,,,Bird Rights,7550000
183,Ricky Rubio,MIN,3741120,3741120,4002120,5070686,,,1st Round Pick,7743240
184,Dion Waiters,CLE,3726600,3726600,3894240,4062000,5138430,,1st Round Pick,7620840
185,Matt Bonner,SAS,3630000,3630000,3945000,,,,Bird Rights,4630000
186,Thabo Sefolosha,OKC,3600000,3600000,3900000,,,,Bird Rights,7500000
187,Jordan Hill,LAL,3563600,3563600,3563600,,,,Bird Rights,7127200
188,Ekpe Udoh,MIL,3524880,3524880,4469548,,,,1st Round Pick,7994428
189,Danny Green,SAS,3500000,3500000,3762500,4025000,,,Early Bird Rights,11287500
190,Shannon Brown,PHO,3500000,3500000,3500000,,,,Cap Space,3500000
191,Chris Duhon,LAL,3500000,3500000,3750000,,,,MLE,5250000
192,Gerald Green,IND,3500000,3500000,3500000,3500000,,,Cap Space,10500000
193,D.J. Augustin,IND,3500000,3500000,,,,,Cap Space,3500000
194,Alonzo Gee,CLE,3500000,3500000,3250000,3000000,,,Early Bird Rights,6750000
195,Johan Petro,ATL,3500000,3500000,,,,,Cap Space,3500000
196,Raymond Felton,NYK,3480453,3480453,3637073,3793693,3950313,,Cap Space,10911219
197,Raja Bell,UTA,3480000,3480000,,,,,,3480000
198,Jonas Valanciunas,TOR,3374640,3374640,3526440,3678360,4660482,,1st Round Pick,6901080
199,Thomas Robinson,HOU,3374640,3374640,3526440,3678360,4660482,,1st Round Pick,6901080
200,DeMar DeRozan,TOR,3344250,3344250,9500000,9500000,9500000,9500000,1st Round Pick,41344250
201,Matt Carroll,NOH,3300000,3300000,,,,,,3300000
202,Tony Allen,MEM,3300000,3300000,,,,,MLE,3300000
203,Will Bynum,DET,3250000,3250000,,,,,Early Bird Rights,3250000
204,Corey Brewer,DEN,3243000,3243000,,,,,MLE,3243000
205,Greg Monroe,DET,3217680,3217680,4086454,,,,1st Round Pick,7304134
206,Jan Vesely,WAS,3202920,3202920,3340920,4236287,,,1st Round Pick,6543840
207,Brandon Jennings,MIL,3179493,3179493,,,,,1st Round Pick,3179493
208,Timofey Mozgov,DEN,3140429,3140429,,,,,Cap Space,3140429
209,Shane Battier,MIA,3135000,3135000,3270000,,,,Mini MLE,6405000
210,Josh McRoberts,CHA,3135000,3135000,,,,,Mini MLE,3135000
211,Gerald Henderson,CHA,3101327,3101327,,,,,1st Round Pick,3101327
212,Daequan Cook,HOU,3090942,3090942,,,,,,3090942
213,Jason Kidd,NYK,3090000,3090000,3090000,3090000,,,Mini MLE,9270000
214,Ray Allen,MIA,3090000,3090000,3229050,,,,Mini MLE,3090000
215,Vince Carter,DAL,3090000,3090000,3180000,,,,Mini MLE,6270000
216,Mirza Teletovic,BRK,3090000,3090000,3229050,3368100,,,Mini MLE,9687150
217,Damian Lillard,POR,3065040,3065040,3202920,3340920,4236287,,1st Round Pick,6267960
218,Tyler Hansbrough,IND,3055259,3055259,,,,,1st Round Pick,3055259
219,Alexey Shved,MIN,3017943,3017943,3150000,3282057,,,Cap Space,9450000
220,Joel Freeland,POR,3013512,2567512,2451976,2567512,,,Cap Space,8925000
221,Darrell Arthur,MEM,3006217,3006217,3231683,3457149,,,Bird Rights,6237900
222,Travis Outlaw,SAC,3000000,3000000,3000000,3000000,,,Cap Space,9000000
223,Lavoy Allen,PHI,3000000,3000000,3060000,,,,Cap Room,6060000
224,Jerryd Bayless,MEM,3000000,3000000,3135000,,,,MLE,3000000
225,Carlos Delfino,HOU,3000000,3000000,3000000,,,,Cap Space,3000000
226,Kosta Koufos,DEN,3000000,3000000,3000000,3000000,,,Bird Rights,6500000
227,Austin Daye,MEM,2958077,2958077,,,,,1st Round Pick,2958077
228,Al-Farouq Aminu,NOH,2947800,2947800,,,,,1st Round Pick,2947800
229,Nick Collison,OKC,2929332,2929332,2585668,2242003,,,Bird Rights,7757003
230,Bismack Biyombo,CHA,2923920,2923920,3049920,3873398,,,1st Round Pick,5973840
231,Dahntay Jones,ATL,2900000,2900000,,,,,MLE,2900000
232,Ron Harper,LAL,2860000,,,,,,,
233,Kwame Brown,PHI,2819044,2819044,2945901,,,,Cap Space,2819044
234,James Johnson,SAC,2812006,2812006,,,,,1st Round Pick,2812006
235,J.R. Smith,NYK,2806452,2806452,2932742,,,,Non Bird Rights,2806452
236,Harrison Barnes,GSW,2798040,2798040,2923920,3049920,3873398,,1st Round Pick,5721960
237,Gordon Hayward,UTA,2709720,2709720,3452183,,,,1st Round Pick,6161903
238,Brandon Knight,DET,2678640,2678640,2793960,3553917,,,1st Round Pick,5472600
239,Jrue Holiday,PHI,2674852,2674852,9213484,9904495,10595507,11286518,1st Round Pick,43674856
240,Quentin Richardson,ORL,2627400,2627400,2808600,,,,,5436000
241,Reggie Williams,CHA,2612500,2612500,,,,,MLE,2612500
242,Brevin Knight,UTA,2600000,,,,,,,
243,Shawne Williams,POR,2600000,2600000,,,,,,2600000
244,Aaron Gray,TOR,2575000,2575000,2690875,,,,Room Exception,2575000
245,Greg Stiemsma,MIN,2575000,2575000,2690875,,,,Room Exception,2575000
246,Paul George,IND,2574120,2574120,3282003,,,,1st Round Pick,5856123
247,Aaron Brooks,SAC,2563581,2563581,686419,,,,,3250000
248,Terrence Ross,TOR,2563320,2563320,2678640,2793960,3553917,,1st Round Pick,5241960
249,Ty Lawson,DEN,2544529,2544529,10786517,11595506,12404495,13213482,1st Round Pick,50544529
250,Randy Foye,UTA,2500000,2500000,,,,,MLE,2500000
251,Jason Smith,NOH,2500000,2500000,2500000,,,,Bird Rights,3500000
252,Kemba Walker,CHA,2462400,2462400,2568360,3272091,,,1st Round Pick,5030760
253,Cole Aldrich,SAC,2445480,2445480,,,,,1st Round Pick,2445480
254,Jeff Teague,ATL,2433077,2433077,,,,,1st Round Pick,2433077
255,Aaron Brooks,HOU,2400000,2400000,2508000,,,,Cap Space,2400000
256,Andre Drummond,DET,2356320,2356320,2462400,2568360,3272091,,1st Round Pick,4818720
257,Jimmer Fredette,SAC,2339040,2339040,2439840,3110796,,,1st Round Pick,4832880
258,Eric Maynor,POR,2338721,2338721,,,,,1st Round Pick,2338721
259,Xavier Henry,NOH,2323200,2323200,,,,,1st Round Pick,2323200
260,Darren Collison,DAL,2319344,2319344,,,,,1st Round Pick,2319344
261,Earl Watson,UTA,2300000,2300000,,,,,MLE,2300000
262,Omri Casspi,CLE,2277306,2277306,,,,,1st Round Pick,2277306
263,Serge Ibaka,OKC,2253062,2253062,12350000,12350000,12350000,12350000,1st Round Pick,51653062
264,Byron Mullens,CHA,2253062,2253062,,,,,1st Round Pick,2253062
265,DeShawn Stevenson,ATL,2240450,2240450,2240450,2240450,,,Non Bird Rights,2240450
266,Austin Rivers,NOH,2238360,2238360,2339040,2439840,3110796,,1st Round Pick,4577400
267,Rodrigue Beaubois,DAL,2227333,2227333,,,,,1st Round Pick,2227333
268,C.J. Miles,CLE,2225000,2225000,2225000,,,,Cap Space,2225000
269,Klay Thompson,GSW,2222160,2222160,2317920,3075880,,,1st Round Pick,4540080
270,Ed Davis,MEM,2207040,2207040,3153860,,,,1st Round Pick,5360900
271,Taj Gibson,CHI,2155811,2155811,7550000,8000000,8500000,8950000,1st Round Pick,35155811
272,Meyers Leonard,POR,2126520,2126520,2222160,2317920,3075880,,1st Round Pick,4348680
273,Alec Burks,UTA,2111160,2111160,2202000,3034356,,,1st Round Pick,4313160
274,Shammond Williams,LAL,2100000,,,,,,,
275,Elton Brand,DAL,2100000,2100500,,,,,Cap Space,2100000
276,Patrick Patterson,SAC,2096760,2096760,3105302,,,,1st Round Pick,5202062
277,Dante Cunningham,MIN,2090000,2090000,2180000,,,,MLE,2090000
278,Wayne Ellington,CLE,2083042,2083042,,,,,1st Round Pick,2083042
279,Toney Douglas,SAC,2067880,2067880,,,,,1st Round Pick,2067880
280,Jeremy Lamb,OKC,2020200,2020200,2111160,2202000,3034356,,1st Round Pick,4131360
281,Markieff Morris,PHO,2005560,2005560,2091840,2989239,,,1st Round Pick,4097400
282,Larry Sanders,MIL,1991760,1991760,3053368,,,,1st Round Pick,5045128
283,Grant Hill,LAC,1957000,1957000,2045065,,,,BAE,4002065
284,Marco Belinelli,CHI,1957000,1957000,,,,,BAE,1957000
285,Kendall Marshall,PHO,1919160,1919160,2005560,2091840,2989239,,1st Round Pick,3924720
286,Marcus Morris,PHO,1905360,1905360,1987320,2943221,,,1st Round Pick,3892680
287,Brendan Haywood,CHA,1900000,1886312,2050000,2213688,10522500,,Cap Space,6150000
288,Luke Babbitt,POR,1892280,1892280,,,,,1st Round Pick,1892280
289,John Henson,MIL,1823280,1823280,1905360,1987320,2943221,,1st Round Pick,3728640
290,Kawhi Leonard,SAS,1809840,1809840,1887840,2894059,,,1st Round Pick,3697680
291,Karl Malone,LAL,1800000,,,,,,,
292,Kevin Seraphin,WAS,1797600,1797600,2761114,,,,1st Round Pick,4558714
293,Jeremy Evans,UTA,1794872,1794872,1660257,1794871,,,Early Bird Rights,5250000
294,James Jones,MIA,1757161,1757161,,,,,,1757161
295,Martell Webster,WAS,1750000,1750000,,,,,MLE,1750000
296,Maurice Harkless,ORL,1731960,1731960,1809840,1887840,2894059,,1st Round Pick,3541800
297,Nikola Vucevic,ORL,1719480,1719480,1793520,2751260,,,1st Round Pick,3513000
298,Eric Bledsoe,LAC,1707720,1707720,2626473,,,,1st Round Pick,1707720
299,Renaldo Balkman,NYK,1675000,1675000,,,,,,1675000
300,Anthony Randolph,DEN,1674641,1674641,1750000,1825359,,,MLE,5250000
301,Royce White,HOU,1645440,1645440,1719480,1793520,2751260,,1st Round Pick,3364920
302,Iman Shumpert,NYK,1633440,1633440,1703760,2616975,,,1st Round Pick,3337200
303,Avery Bradley,BOS,1630800,1630800,2511432,,,,1st Round Pick,4142232
304,Reggie Evans,BRK,1622617,1622617,1695635,1768653,,,Non Bird Rights,5086905
305,Sebastian Telfair,TOR,1567500,1567500,,,,,MLE,1567500
306,Tyler Zeller,CLE,1563120,1563120,1633440,1703760,2616975,,1st Round Pick,3196560
307,Chris Singleton,WAS,1551840,1551840,1618680,2489530,,,1st Round Pick,3170520
308,John Lucas,TOR,1500000,1500000,1567500,,,,Cap Space,1500000
309,Gustavo Ayon,MIL,1500000,1500000,1500000,,,,MLE,1500000
310,James Jones,MIA,1500000,1500000,1500000,,,,Bird Rights,1500000
311,Jodie Meeks,LAL,1500000,1500000,1550000,,,,Mini MLE,1500000
312,Jeff Pendergraph,IND,1500000,1500000,,,,,Cap Room,1500000
313,Gary Forbes,HOU,1500000,1500000,,,,,,1500000
314,Viacheslav Kravtsov,DET,1500000,1500000,1500000,,,,MLE,2000000
315,Jordan Farmar,ATL,1500000,1500000,,,,,,1500000
316,Terrence Jones,HOU,1485000,1485000,1551840,1618680,2489530,,1st Round Pick,3036840
317,Tobias Harris,ORL,1482000,1482000,1545840,2380594,,,1st Round Pick,3027840
318,Jared Jeffries,POR,1475106,1475106,,,,,,1475106
319,Elliot Williams,POR,1442880,1442880,,,,,1st Round Pick,1442880
320,Andrew Nicholson,ORL,1418160,1418160,1482000,1545840,2380594,,1st Round Pick,2900160
321,Nando De Colo,SAS,1400000,1400000,1463000,,,,BAE,2863000
322,Trevor Booker,WAS,1385280,1385280,2350820,,,,1st Round Pick,3736100
323,Willie Green,LAC,1375000,1375000,1399507,1448490,,,Non Bird Rights,1375000
324,Nolan Smith,POR,1365720,1365720,,,,,1st Round Pick,1365720
325,Donatas Motiejunas,HOU,1361400,1361400,1422720,1483920,2288205,,1st Round Pick,2784120
326,Evan Fournier,DEN,1361400,1361400,1422720,1483920,2288205,,1st Round Pick,2784120
327,Jamaal Tinsley,UTA,1352181,1352181,,,,,Minimum Salary,1352181
328,Kurt Thomas,NYK,1352181,1352181,,,,,,1352181
329,Rashard Lewis,MIA,1352181,1352181,1399507,,,,Minimum Salary,1352181
330,Kenneth Faried,DEN,1311240,1311240,1367640,2249768,,,1st Round Pick,2678880
331,Jared Sullinger,BOS,1306920,1306920,1365720,1424520,2269260,,1st Round Pick,2672640
332,Victor Claver,POR,1300000,1300000,1330000,1370000,,,Cap Space,4000000
333,Hamed Haddadi,PHO,1300000,1300000,1397500,,,,Non Bird Rights,1300000
334,Dominique Jones,DAL,1276560,1276560,,,,,,1276560
335,Fab Melo,BOS,1254720,1254720,1311240,1367640,2249768,,1st Round Pick,2565960
336,Earl Clark,LAL,1240000,1240000,,,,,Early Bird,1240000
337,Quincy Pondexter,MEM,1234320,1234320,2225479,,,,1st Round Pick,3459799
338,Sasha Pavlovic,POR,1232713,1232713,1399507,1448490,,,Early Bird Rights,1232713
339,Reggie Jackson,OKC,1208400,1208400,1260360,2204370,,,1st Round Pick,2468760
