Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,Signed Using,Guaranteed
43,Eric Bledsoe,PHO,12173913,13086957,14000001,14913045,15826089,,Bird Rights,70000000
44,Nikola Pekovic,MIN,12100000,12100000,12100000,11600000,,,Bird Rights,47900000
45,Kyle Lowry,TOR,12000000,12000000,12000000,12000000,,,Bird Rights,36000000
46,Kevin Garnett,MIN,12000000,,,,,,Bird Rights,12000000
47,David West,IND,12000000,12000000,,,,,Early Bird Rights,12000000
48,Al Horford,ATL,12000000,12000000,,,,,Bird Rights,24000000
49,Nicolas Batum,POR,11765500,12235750,,,,,Bird Rights,23251250
50,Ty Lawson,DEN,11595506,12404495,13213482,,,,Bird Rights,37213483
51,Andrea Bargnani,NYK,11500000,,,,,,Bird Rights,11500000
52,DeAndre Jordan,LAC,11440124,,,,,,Bird Rights,11440124
53,JaVale McGee,PHI,11250000,12000000,,,,,,23250000
54,Larry Sanders,MIL,11000000,2170000,2170000,2170000,2170000,,,15200000
55,Danilo Gallinari,DEN,10854850,11559225,,,,,Bird Rights,22414075
56,Tyreke Evans,NOP,10763500,11227000,11690500,,,,Bird Rights,33681000
57,Stephen Curry,GSW,10629213,11370786,12112359,,,,Bird Rights,34112358
58,Marcin Gortat,WAS,10434782,11217391,12000000,12782609,13565218,,Bird Rights,60000000
59,Gerald Wallace,BOS,10105855,10105855,,,,,Bird Rights,20211710
60,Tim Duncan,SAS,10000000,,,,,,Bird Rights,10000000
61,Jrue Holiday,NOP,9904495,10595507,11286518,,,,Bird Rights,31786520
62,Luol Deng,MIA,9714461,10151612,,,,,Cap Space,9714461
63,Anderson Varejao,CLE,9704595,9638554,10361446,10000000,,,Bird Rights,28704595
64,Steve Nash,LAL,9701000,,,,,,,9701000
65,Kendrick Perkins,UTA,9654342,,,,,,,9154342
66,DeMar DeRozan,TOR,9500000,9500000,9500000,,,,Bird Rights,19000000
67,Paul Millsap,ATL,9500000,,,,,,Cap Space,9500000
68,Jeff Green,MEM,9445000,9445000,,,,,Bird Rights,9200000
69,Thaddeus Young,BRK,9410870,9971739,,,,,Bird Rights,9160870
70,Tyrus Thomas,CHO,9388000,,,,,,,
71,Tiago Splitter,SAS,9250000,8500000,8250000,,,,Bird Rights,26000000
72,Jordan Hill,LAL,9000000,9000000,,,,,Cap Space,9000000
73,Lance Stephenson,CHO,9000000,9000000,9400000,,,,Cap Space,18000000
74,Mike Conley,MEM,8894216,9588426,,,,,Cap Space,18082642
75,Trevor Ariza,HOU,8579089,8193030,7806971,7420912,,,Bird Rights,32000000
76,Marcus Thornton,PHO,8575000,,,,,,Cap Space,8575000
77,Ryan Anderson,NOP,8491500,8500000,,,,,Bird Rights,16991500
78,Andray Blatche,WAS,8471339,,,,,,,
79,Omer Asik,NOP,8374646,,,,,,Cap Space,8374646
80,Jeremy Lin,LAL,8374646,,,,,,Cap Space,8374646
81,Monta Ellis,DAL,8360000,8720000,,,,,Cap Space,8360000
82,Channing Frye,ORL,8175476,7807579,7456238,,,,Cap Space,32000000
83,O.J. Mayo,MIL,8000000,8000000,,,,,Cap Space,16000000
84,George Hill,IND,8000000,8000000,8000000,,,,Bird Rights,24000000
85,Brandon Jennings,DET,8000000,8344497,,,,,Bird Rights,16344497
86,Taj Gibson,CHI,8000000,8500000,8950000,,,,Bird Rights,25450000
87,Jeff Teague,ATL,8000000,8000000,8000000,,,,Bird Rights,24000000
88,Dirk Nowitzki,DAL,7974482,8333334,8692184,,,,Cap Space,16307816
89,Ersan Ilyasova,MIL,7900000,7900000,8400000,,,,Bird Rights,16200000
90,Brendan Haywood,DAL,7798000,,,,,,,
91,Arron Afflalo,POR,7750000,7937500,,,,,Bird Rights,7312500
92,Tayshaun Prince,DET,7707865,,,,,,Bird Rights,7707865
93,Boris Diaw,SAS,7500000,7000000,6500000,7000000,,,Bird Rights,17500000
94,Goran Dragic,MIA,7500000,7500000,,,,,Cap Space,7500000
95,Josh Childress,PHO,7317500,,,,,,,
96,Wesley Matthews,POR,7245640,,,,,,MLE,6107640
97,Isaiah Thomas,BOS,7238606,6912869,6587132,6261395,,,,27000002
98,Avery Bradley,BOS,7191011,7730337,8269663,8808989,,,Bird Rights,32000000
99,Pau Gasol,CHI,7128000,7448760,7769520,,,,Cap Space,14576760
100,Jose Calderon,NYK,7097191,7402812,7708427,,,,Cap Space,22208430
101,Kyrie Irving,CLE,7070730,14746000,15851950,16957900,18063850,,Early Bird Rights,72690430
102,Amir Johnson,TOR,7000000,,,,,,Bird Rights,7000000
103,Manu Ginobili,SAS,7000000,,,,,,Bird Rights,7000000
104,Marvin Williams,CHO,7000000,7000000,,,,,,14000000
105,Brandon Bass,BOS,6900000,,,,,,Bird Rights,6900000
106,Kevin Martin,MIN,6792500,7085000,7377500,,,,Bird Rights,13877500
107,Wilson Chandler,DEN,6757913,7171663,,,,,Bird Rights,8757913
108,Drew Gooden,MIL,6680000,,,,,,,
109,Jason Richardson,PHI,6601125,,,,,,Bird Rights,6601125
110,Glen Davis,ORL,6600000,,,,,,,6600000
111,Mike Miller,MIA,6600000,,,,,,,
112,J.J. Redick,LAC,6583500,6867000,7150500,,,,Bird Rights,20601000
113,Luis Scola,HOU,6541000,,,,,,,
114,J.R. Smith,CLE,6516000,6399750,,,,,Early Bird Rights,6516000
115,Carl Landry,SAC,6500000,6500000,6500000,,,,Cap Space,19500000
116,Greivis Vasquez,TOR,6400000,6600000,,,,,Bird Rights,13000000
117,Derrick Williams,SAC,6331404,,,,,,1st Round Pick,6331404
118,Jarrett Jack,BRK,6300000,6300000,6300000,,,,Cap Space,13100000
119,Kyle Korver,ATL,6253521,5746479,5239437,,,,Bird Rights,17239437
120,Landry Fields,TOR,6250000,,,,,,Cap Space,6250000
121,Luis Scola,HOU,6172538,,,,,,,
122,Robin Lopez,POR,6124728,,,,,,Bird Rights,5340229
123,Jason Thompson,SAC,6037500,6431250,6825000,,,,Bird Rights,15118750
124,Jodie Meeks,DET,6000000,6270000,6540000,,,,Cap Space,18800000
125,Gerald Henderson,CHO,6000000,6000000,,,,,Bird Rights,6000000
126,Chuck Hayes,TOR,5958750,,,,,,Cap Space,5958750
127,Jason Terry,HOU,5850313,,,,,,MLE,5850313
128,Patrick Patterson,TOR,5831326,6268675,6050000,,,,Bird Rights,18150001
129,P.J. Tucker,PHO,5700000,5500000,5300000,,,,Cap Space,12700000
130,Enes Kanter,OKC,5694674,,,,,,1st Round Pick,5694674
131,Anthony Davis,NOP,5607240,7070730,,,,,1st Round Pick,5607240
132,Anthony Bennett,MIN,5563920,5803560,7318289,,,,1st Round Pick,11367480
133,Andrew Wiggins,MIN,5510640,5758680,6006600,7574322,,,1st Round Pick,11269320
134,Greg Monroe,DET,5479934,,,,,,,5479934
135,Lou Williams,TOR,5450000,,,,,,MLE,5450000
136,Courtney Lee,MEM,5450000,5675000,,,,,Bird Rights,11125000
137,Jamal Crawford,LAC,5450000,5675000,,,,,MLE,6950000
138,Martell Webster,WAS,5381750,5613500,5845250,,,,MLE,10995250
139,J.J. Hickson,DEN,5381750,5613500,,,,,MLE,10995250
140,Chris Andersen,MIA,5375000,5000000,,,,,Cap Space,10375000
141,Paul Pierce,WAS,5305000,5543725,,,,,MLE,5305000
142,Josh McRoberts,MIA,5305000,5543725,5782450,6021175,,,MLE,16631175
143,Spencer Hawes,LAC,5305000,5543725,5782450,6021175,,,MLE,16631175
144,Shaun Livingston,GSW,5305000,5543725,5782450,,,,MLE,13848725
145,Nikola Mirotic,CHI,5305000,5543725,5782450,,,,Cap Space,16631175
146,Zaza Pachulia,MIL,5200000,5200000,,,,,Cap Space,10400000
147,Tristan Thompson,CLE,5138430,,,,,,1st Round Pick,5138430
148,Ricky Rubio,MIN,5070686,12365000,13292375,14219750,15147125,,1st Round Pick,60094936
149,Michael Kidd-Gilchrist,CHO,5016960,6331404,,,,,1st Round Pick,11348364
150,Trevor Booker,UTA,5000000,4775000,,,,,Cap Space,5250000
151,Brandan Wright,PHO,5000000,,,,,,Early Bird Rights,5000000
152,Chase Budinger,MIN,5000000,5000000,,,,,Bird Rights,5000000
153,Nick Young,LAL,4994420,5219169,5443918,5668667,,,Cap Space,15657507
154,Victor Oladipo,ORL,4978200,5192520,6552960,,,,1st Round Pick,10170720
155,Jabari Parker,MIL,4930560,5152440,5374320,6782392,,,1st Round Pick,10083000
156,Luis Scola,IND,4868499,,,,,,Cap Space,4868499
157,Tony Allen,MEM,4831461,5168539,5505618,,,,Bird Rights,15505618
158,Chris Kaman,POR,4800000,5000000,,,,,MLE,5800000
159,Kostas Papanikolaou,HOU,4800000,4600000,,,,,MLE,4800000
160,Darren Collison,SAC,4797664,5013559,5229454,,,,MLE,15040677
161,Corey Brewer,HOU,4702500,4905000,,,,,Cap Space,4702500
162,Timofey Mozgov,CLE,4650000,4950000,,,,,Bird Rights,4650000
163,Andre Miller,SAC,4625000,,,,,,Bird Rights,4625000
164,Bradley Beal,WAS,4505280,5694674,,,,,1st Round Pick,10199954
165,Ben Gordon,ORL,4500000,4500000,,,,,Cap Space,4500000
166,Caron Butler,DET,4500000,4500000,,,,,,4500000
167,Jonas Jerebko,BOS,4500000,,,,,,Early Bird Rights,4500000
168,Otto Porter,WAS,4470480,4662960,5893981,,,,1st Round Pick,9133440
169,Joel Embiid,PHI,4427640,4626960,4826160,6100266,,,1st Round Pick,9054600
170,Luc Mbah a Moute,PHI,4382576,,,,,,Bird Rights,4382576
171,Kris Humphries,WAS,4300000,4600000,4600000,,,,Bird Rights,13500000
172,Jared Dudley,MIL,4250000,4250000,,,,,Bird Rights,4250000
173,C.J. Miles,IND,4205000,4394225,4583450,4772675,,,MLE,13182675
174,Thabo Sefolosha,ATL,4150000,4000000,3850000,,,,,12000000
175,Dion Waiters,OKC,4062000,5138430,,,,,1st Round Pick,4062000
176,Cody Zeller,CHO,4030560,4204200,5318313,,,,1st Round Pick,8234760
177,Danny Green,SAS,4025000,,,,,,Early Bird,4025000
178,Mario Chalmers,MIA,4000000,4300000,,,,,Bird Rights,8300000
179,Ian Mahinmi,IND,4000000,4000000,,,,,Early Bird Rights,8000000
180,Travis Outlaw,BRK,4000000,,,,,,,
181,Aaron Gordon,ORL,3992040,4171680,4351320,5504420,,,1st Round Pick,8163720
182,Vince Carter,MEM,3911981,4088091,4264057,,,,,10000072
183,Kevin Seraphin,WAS,3898692,,,,,,1st Round Pick,3898692
184,Devin Harris,DAL,3878000,4053000,4228000,4403000,,,,16562000
185,Bismack Biyombo,CHO,3873398,,,,,,1st Round Pick,3873398
186,Samuel Dalembert,NYK,3867282,,,,,,,1800000
187,Patty Mills,SAS,3842105,3578947,3578948,,,,Bird Rights,11000000
188,Al Harrington,ORL,3805000,,,,,,,3805000
189,Joel Anthony,DET,3800000,,,,,,Bird Rights,3800000
190,Raymond Felton,DAL,3793693,3950313,,,,,Cap Space,3793693
191,Mo Williams,CHO,3750000,,,,,,MLE,3750000
192,Jonas Valanciunas,TOR,3678360,4660482,,,,,1st Round Pick,8338842
193,Thomas Robinson,PHI,3678360,,,,,,1st Round Pick,3678360
194,Marreese Speights,GSW,3657500,3815000,,,,,MLE,3657500
195,Alex Len,PHO,3649920,3807120,4823621,,,,1st Round Pick,7457040
196,Dante Exum,UTA,3615000,3777720,3940320,4992385,,,1st Round Pick,7392720
197,Brandon Knight,PHO,3553917,,,,,,1st Round Pick,3553917
198,Gerald Green,PHO,3500000,,,,,,Cap Space,3500000
199,Darrell Arthur,DEN,3457149,,,,,,Bird Rights,3457149
200,Steve Novak,OKC,3445946,3750000,,,,,Early Bird,7195946
201,Matt Barnes,LAC,3396250,3542500,,,,,MLE,3396250
202,Mirza Teletovic,BRK,3368100,,,,,,Mini MLE,3368100
203,Damian Lillard,POR,3340920,4236287,,,,,1st Round Pick,7577207
204,Mike Scott,ATL,3333333,3333333,3333334,,,,,6666666
205,Tyler Hansbrough,TOR,3326235,,,,,,MLE,3326235
206,Andrei Kirilenko,PHI,3326235,,,,,,,3326235
207,Mike Dunleavy,CHI,3326235,,,,,,Mini MLE,3326235
208,Nerlens Noel,PHI,3315120,3457800,4384490,,,,1st Round Pick,6772920
209,Marcus Smart,BOS,3283320,3431040,3578880,4538020,,,1st Round Pick,6669360
210,Alexey Shved,NYK,3282056,,,,,,Cap Space,3282056
211,Jason Smith,NYK,3278000,,,,,,Mini MLE,3278000
212,Bojan Bogdanovic,BRK,3278000,3425510,3573020,,,,MLE,10276530
213,Evan Turner,BOS,3278000,3425510,,,,,MLE,6703510
214,Kemba Walker,CHO,3272091,12000000,12000000,12000000,12000000,,1st Round Pick,51272091
215,Gary Neal,MIN,3250000,,,,,,Cap Space,3250000
216,Carlos Boozer,LAL,3250000,,,,,,,3250000
217,Anthony Morrow,OKC,3200000,3344000,3488000,,,,Cap Space,6544000
218,Dorell Wright,POR,3150000,,,,,,Cap Space,3150000
219,Quincy Pondexter,NOP,3146068,3382023,3617978,3853931,,,1st Round Pick,14000000
220,Chris Copeland,IND,3135000,,,,,,MLE,3135000
221,Randy Foye,DEN,3135000,3270000,,,,,Non Bird Rights,6405000
222,Klay Thompson,GSW,3075880,15500000,16662500,17825500,18987500,,1st Round Pick,72051380
223,Harrison Barnes,GSW,3049920,3873398,,,,,1st Round Pick,6923318
224,Alec Burks,UTA,3034356,9213484,9904495,10595506,11286515,,1st Round Pick,44034356
225,Ben McLemore,SAC,3026280,3156600,4008882,,,,1st Round Pick,6182880
226,Joel Freeland,POR,3013512,,,,,,Cap Space,2567512
227,Travis Outlaw,PHI,3000000,,,,,,,3000000
228,Furkan Aldemir,PHI,3000000,3000000,3000000,3000000,,,Minimum Salary,
229,D.J. Augustin,OKC,3000000,3000000,,,,,,6000000
230,Jerryd Bayless,MIL,3000000,3000000,,,,,Cap Space,6000000
231,Kosta Koufos,MEM,3000000,,,,,,Bird Rights,3000000
232,Anthony Tolliver,DET,3000000,3000000,,,,,Cap Space,3400000
233,Julius Randle,LAL,2997360,3132240,3267120,4149242,,,1st Round Pick,6129600
234,Markieff Morris,PHO,2989239,8000000,8000000,8000000,8000000,,Bird Rights,34989239
235,Marcus Morris,PHO,2943221,5000000,5000000,5000000,5000000,,Bird Rights,22943221
236,Will Bynum,BOS,2915908,,,,,,,2915908
237,Kawhi Leonard,SAS,2894059,,,,,,1st Round Pick,2894059
238,Marco Belinelli,SAS,2873750,,,,,,MLE,2873750
239,Terrence Ross,TOR,2793960,3553917,,,,,1st Round Pick,6347877
240,Kentavious Caldwell-Pope,DET,2772480,2891760,3678319,,,,1st Round Pick,2772480
241,Nikola Vucevic,ORL,2751260,,,,,,1st Round Pick,2751260
242,Luke Ridnour,ORL,2750000,2750000,,,,,Cap Space,2750000
243,Nik Stauskas,SAC,2745840,2869440,2993040,3807146,,,1st Round Pick,5615280
244,Udonis Haslem,MIA,2732000,2854940,,,,,MLE,5586940
245,Jameer Nelson,DEN,2732000,2854940,,,,,Room Exception,2732000
246,Mike Miller,CLE,2732000,2854940,,,,,Room Exception,2732000
247,Brian Roberts,CHO,2732000,2854940,,,,,Room Exception,5586940
248,Kirk Hinrich,CHI,2730000,2870000,,,,,Room Exception,2730000
249,Iman Shumpert,CLE,2616975,,,,,,1st Round Pick,2616975
250,Andre Drummond,DET,2568360,3272091,,,,,1st Round Pick,2568360
251,Trey Burke,UTA,2548560,2658240,3386598,,,,1st Round Pick,2548560
252,Noah Vonleh,CHO,2524200,2637720,2751360,3505233,,,1st Round Pick,5161920
253,James Johnson,TOR,2500000,2500000,,,,,Cap Space,5000000
254,DeMarre Carroll,ATL,2442455,,,,,,Cap Space,2442455
255,Austin Rivers,LAC,2439840,3110796,,,,,1st Round Pick,2439840
256,Shelvin Mack,ATL,2433333,2433333,2433334,,,,Cap Space,4866666
257,C.J. McCollum,POR,2421000,2525160,3219579,,,,1st Round Pick,4946160
258,Elfrid Payton,ORL,2397840,2505720,2613600,3332340,,,1st Round Pick,4903560
259,Tobias Harris,ORL,2380594,,,,,,1st Round Pick,2380594
260,Meyers Leonard,POR,2317920,3075880,,,,,1st Round Pick,5393800
261,Michael Carter-Williams,MIL,2300040,2399040,3183526,,,,1st Round Pick,4699080
262,Doug McDermott,CHI,2277960,2380440,2483040,3294994,,,1st Round Pick,4658400
263,Kenneth Faried,DEN,2249768,11235955,12078652,12921348,13764045,,1st Round Pick,52249768
264,Nick Collison,OKC,2242003,3750000,3750000,,,,Bird Rights,9742000
265,Brendan Haywood,CLE,2213688,10522500,,,,,Cap Space,2213688
266,Reggie Jackson,DET,2204370,,,,,,1st Round Pick,2204370
267,Jeremy Lamb,OKC,2202000,3034356,,,,,1st Round Pick,5236356
268,Steven Adams,OKC,2184960,2279040,3140517,,,,1st Round Pick,4464000
269,Eric Maynor,PHI,2106720,,,,,,,2106720
270,C.J. Watson,IND,2106720,,,,,,BAE,2106720
271,Nate Robinson,BOS,2106720,,,,,,,2106720
272,Vitor Faverani,BOS,2090000,,,,,,,2090000
273,Ramon Sessions,WAS,2077000,2170465,,,,,BAE,4247465
274,Aron Baynes,SAS,2077000,,,,,,MLE,2077000
275,Steve Blake,POR,2077000,2170465,,,,,BAE,2077000
276,Danny Granger,PHO,2077000,2170465,,,,,BAE,2077000
277,Beno Udrih,MEM,2077000,2170465,,,,,BAE,2077000
278,Jordan Farmar,LAC,2077000,,,,,,,2077000
279,Josh Smith,HOU,2077000,,,,,,BAE,2077000
280,Kelly Olynyk,BOS,2075760,2165160,3094014,,,,1st Round Pick,4240920
281,Zach LaVine,MIN,2055840,2148360,2240880,3202217,,,1st Round Pick,4204200
282,Norris Cole,NOP,2038206,,,,,,1st Round Pick,2038206
283,Cory Joseph,SAS,2023261,,,,,,1st Round Pick,2023261
284,Jimmy Butler,CHI,2008748,,,,,,1st Round Pick,2008748
285,DeJuan Blair,WAS,2000000,2000000,2000000,,,,Bird Rights,4000000
286,John Salmons,PHO,2000000,,,,,,,2000000
287,Elton Brand,ATL,2000000,,,,,,Cap Space,2000000
288,Kent Bazemore,ATL,2000000,2000000,,,,,,4000000
289,John Henson,MIL,1987320,2943221,,,,,1st Round Pick,4930541
290,Shabazz Muhammad,MIN,1971960,2056920,3046299,,,,1st Round Pick,4028880
291,Zoran Dragic,MIA,1962103,2050397,,,,,Cap Space,4012500
292,T.J. Warren,PHO,1953120,2041080,2128920,3152931,,,1st Round Pick,3994200
293,Maurice Harkless,ORL,1887840,2894059,,,,,1st Round Pick,4781899
294,Giannis Antetokounmpo,MIL,1873200,1953960,2995421,,,,1st Round Pick,3827160
295,Adreian Payne,MIN,1855320,1938840,2022240,3100094,,,1st Round Pick,3794160
296,Jeff Ayres,SAS,1828750,,,,,,MLE,1828750
297,Anthony Randolph,ORL,1825359,,,,,,,1825359
298,Jeremy Evans,UTA,1794871,,,,,,Early Bird Rights,1794871
299,Joffrey Lauvergne,DEN,1790280,1709720,1709720,2136475,,,MLE,3500000
300,Reggie Evans,SAC,1768653,,,,,,Non Bird Rights,1768653
301,Lucas Nogueira,TOR,1762680,1842000,1921320,2947305,,,1st Round Pick,3604680
302,Jusuf Nurkic,DEN,1762680,1842000,1921320,2947305,,,1st Round Pick,3604680
303,Luigi Datome,BOS,1750000,,,,,,Cap Space,1750000
304,Tyler Zeller,BOS,1703760,2616975,,,,,1st Round Pick,4320735
305,Dennis Schroder,ATL,1690680,1763400,2708582,,,,1st Round Pick,3454080
306,James Young,BOS,1674480,1749840,1825200,2803507,,,1st Round Pick,3424320
307,Pablo Prigioni,HOU,1662961,1734572,,,,,MLE,3544311
308,Ryan Kelly,LAL,1650000,1724250,,,,,Room Exception,3374250
309,Terrence Jones,HOU,1618680,2489530,,,,,1st Round Pick,4108210
310,Shane Larkin,NYK,1606080,1675320,2576642,,,,1st Round Pick,1606080
311,Tyler Ennis,MIL,1590720,1662360,1733880,2666707,,,1st Round Pick,3253080
312,Andrew Nicholson,ORL,1545840,2380594,,,,,1st Round Pick,3926434
313,Sergey Karasev,BRK,1533840,1599840,2463754,,,,1st Round Pick,1533840
314,Gary Harris,DEN,1519200,1587480,1655880,2550055,,,1st Round Pick,3106680
315,Ronny Turiaf,PHI,1500000,,,,,,,1500000
316,Evan Fournier,ORL,1483920,2288205,,,,,1st Round Pick,3772125
317,Donatas Motiejunas,HOU,1483920,2288205,,,,,1st Round Pick,3772125
318,Tony Snell,CHI,1472400,1535880,2368327,,,,1st Round Pick,3008280
319,Bruno Caboclo,TOR,1458360,1524000,1589640,2451225,,,1st Round Pick,2982360
320,Rasual Butler,WAS,1448490,,,,,,Minimum Salary,1448490
321,Matt Bonner,SAS,1448490,,,,,,Minimum Salary,1448490
322,Willie Green,ORL,1448490,,,,,,Non Bird Rights,1448490
323,Hedo Turkoglu,LAC,1448490,,,,,,Minimum Salary,1448490
324,Leandro Barbosa,GSW,1448490,,,,,,Minimum Salary,1448490
325,Shawn Marion,CLE,1448490,,,,,,Minimum Salary,1448490
326,James Jones,CLE,1448490,,,,,,Minimum Salary,1448490
327,Jannero Pargo,CHO,1448490,,,,,,,1448490
328,Nazr Mohammed,CHI,1448490,,,,,,Minimum Salary,1448490
329,Drew Gooden,WAS,1448000,,,,,,Minimum Salary,1448000
330,Jared Sullinger,BOS,1424520,2269260,,,,,1st Round Pick,3693780
331,Gorgui Dieng,MIN,1413480,1474440,2348783,,,,1st Round Pick,2887920
332,Mitch McGary,OKC,1400040,1463040,1526040,2430981,,,1st Round Pick,2863080
333,Victor Claver,DEN,1370000,,,,,,,1370000
334,Mason Plumlee,BRK,1357080,1415520,2328530,,,,1st Round Pick,1357080
335,Jordan Adams,MEM,1344120,1404600,1465080,2410057,,,1st Round Pick,2748720
336,Ryan Hollins,SAC,1316809,,,,,,Minimum Salary,1316809
337,Ronnie Price,LAL,1316809,,,,,,Minimum Salary,1316809
338,Francisco Garcia,HOU,1316809,,,,,,,1316809
339,John Jenkins,ATL,1312920,2228025,,,,,1st Round Pick,1312920
340,J.J. Barea,DAL,1310286,,,,,,Minimum Salary,1310286
341,Solomon Hill,IND,1302840,1358880,2306019,,,,1st Round Pick,2661720
342,Rodney Hood,UTA,1290360,1348440,1406520,2386864,,,1st Round Pick,2638800
343,Alan Anderson,BRK,1276061,1333484,,,,,Non Bird rights,1276061
344,Tim Hardaway,NYK,1250640,1304520,2281605,,,,1st Round Pick,2555160
345,Pero Antic,ATL,1250000,,,,,,Cap Space,1250000
346,Shabazz Napier,MIA,1238640,1294440,1350120,2361360,,,1st Round Pick,2533080
347,Rodney Stuckey,IND,1227985,,,,,,Minimum Salary,1227985
348,Aaron Gray,DET,1227985,1356146,,,,,,1227985
349,Shawne Williams,DET,1227985,,,,,,Minimum Salary,1227985
350,Shavlik Randolph,DEN,1227985,,,,,,,1227985
351,Tony Wroten,PHI,1210080,2179354,,,,,1st Round Pick,3389434
352,Reggie Bullock,PHO,1200720,1252440,2255644,,,,1st Round Pick,2453160
353,Clint Capela,HOU,1189200,1242720,1296240,2334520,,,1st Round Pick,2431920
354,Miles Plumlee,MIL,1169880,2109294,,,,,1st Round Pick,3279174
355,Andre Roberson,OKC,1160880,1210800,2183072,,,,1st Round Pick,2371680
356,P.J. Hairston,CHO,1149720,1201440,1253160,2259447,,,1st Round Pick,2351160
357,Brandon Rush,GSW,1145685,1270964,,,,,Minimum Salary,1145685
358,Cartier Martin,DET,1145685,1270964,,,,,Minimum Salary,1145685
359,Aaron Brooks,CHI,1145685,,,,,,Minimum Salary,1145685
360,Arnett Moultrie,NYK,1136160,,,,,,,1136160
361,Perry Jones,OKC,1129200,2038206,,,,,1st Round Pick,3167406
362,Rudy Gobert,UTA,1127400,1175880,2121288,,,,1st Round Pick,1127400
363,Marquis Teague,PHI,1120920,,,,,,,1120920
364,Festus Ezeli,GSW,1112880,2008748,,,,,1st Round Pick,3121628
365,Archie Goodwin,PHO,1112280,1160160,2094089,,,,1st Round Pick,2272420
366,C.J. Wilcox,LAC,1109760,1159680,1209680,2183328,,,1st Round Pick,2269440
367,Nemanja Nedovic,GSW,1104240,,,,,,,1104240
368,Damjan Rudez,IND,1100000,1149500,1199000,,,,MLE,2249500
369,Kyle Anderson,SAS,1093680,1142879,1192080,2151704,,,1st Round Pick,2236559
370,Kyle Singler,OKC,1090000,,,,,,MLE,1090000
371,Xavier Henry,LAL,1082000,,,,,,,1082000
372,Austin Daye,SAS,1063384,,,,,,,1063384
373,Omri Casspi,SAC,1063384,,,,,,Minimum Salary,1063384
374,Wayne Ellington,LAL,1063384,,,,,,Minimum Salary,1063384
