Player,Link,Tm,Money,Signed Using,Year
Troy Daniels,danietr01,MEM,3332940,Cap Space,2017
Julius Randle,randlju01,LAL,3267120,1st Round Pick,2017
Emmanuel Mudiay,mudiaem01,DEN,3241800,1st round pick,2017
CJ McCollum,mccolcj01,POR,3219579,1st Round Pick,2017
Jamal Murray,murraja01,DEN,3210840,1st Round pick,2017
Michael Carter-Williams,cartemi01,CHI,3183526,1st Round Pick,2017
Steven Adams,adamsst01,OKC,3140517,1st Round Pick,2017
Kelly Olynyk,olynyke01,BOS,3094014,1st Round Pick,2017
Shabazz Muhammad,muhamsh01,MIN,3046299,1st Round Pick,2017
Justin Hamilton,hamilju01,BRK,3000000,Cap Space,2017
Tibor Pleiss,pleisti01,PHI,3000000,,2017
Omri Casspi,casspom01,NOP,3000000,,2017
Giannis Antetokounmpo,antetgi01,MIL,2995421,1st Round Pick,2017
Nik Stauskas,stausni01,PHI,2993040,1st Round Pick,2017
Dante Cunningham,cunnida01,NOP,2978250,MLE,2017
Stanley Johnson,johnsst04,DET,2969880,1st round pick,2017
Marquese Chriss,chrisma01,PHO,2941440,1st Rd pick,2017
Mindaugas Kuzminskas,kuzmimi01,NYK,2898000,Room Exception,2017
James Ennis,ennisja01,MEM,2898000,Room exception,2017
Seth Curry,curryse01,DAL,2898000,Room exception,2017
Dewayne Dedmon,dedmode01,SAS,2898000,Room exception,2017
Dion Waiters,waitedi01,MIA,2898000,Room exception,2017
Nene Hilario,hilarne01,HOU,2898000,Room exception,2017
Zaza Pachulia,pachuza01,GSW,2898000,Room Exception,2017
Tomas Satoransky,satorto01,WAS,2870813,Cap Space,2017
Noah Vonleh,vonleno01,POR,2751360,1st Round Pick,2017
Frank Kaminsky,kaminfr01,CHO,2730000,1st round pick,2017
Dennis Schroder,schrode01,ATL,2708582,1st Round Pick,2017
Jakob Poeltl,poeltja01,TOR,2703960,1st Round pick,2017
Aaron Brooks,brookaa01,IND,2700000,Cap Space,2017
Elfrid Payton,paytoel01,ORL,2613600,1st Round Pick,2017
Justise Winslow,winslju01,MIA,2593440,1st round pick,2017
Thon Maker,makerth01,MIL,2568600,1st Round pick,2017
Ronnie Price,pricero01,OKC,2557545,,2017
Richard Jefferson,jefferi01,CLE,2500000,Cap Space,2017
Malcolm Delaney,delanma01,ATL,2500000,Room Exception,2017
Randy Foye,foyera01,BRK,2500000,Cap Space,2017
Doug McDermott,mcderdo01,OKC,2483040,1st Round Pick,2017
Myles Turner,turnemy01,IND,2463840,1st round pick,2017
