Player,Link,Tm,Money,Signed Using,Year
James Johnson,johnsja01,MIA,14651700,Cap space,2019
Brandon Knight,knighbr03,CLE,14631250,,2019
Robin Lopez,lopezro01,CHI,14357750,Cap Space,2019
Luol Deng,denglu01,LAL,14354067,,2019
Marvin Williams,willima02,CHO,14087500,Cap Space,2019
Taj Gibson,gibsota01,MIN,14000000,Cap space,2019
Jeremy Lin,linje01,ATL,13768421,,2019
Thaddeus Young,youngth01,IND,13764045,Bird Rights,2019
Kenneth Faried,farieke01,BRK,13764045,,2019
Tyson Chandler,chandty01,PHO,13585000,,2019
Marcin Gortat,gortama01,LAC,13565218,,2019
Cody Zeller,zelleco01,CHO,13528090,1st Round Pick,2019
Eric Gordon,gordoer01,HOU,13500375,Cap Space,2019
Joe Ingles,inglejo01,UTA,13045455,Bird Rights,2019
Michael Kidd-Gilchrist,kiddgmi01,CHO,13000000,1st Round Pick,2019
Khris Middleton,middlkh01,MIL,13000000,Bird Rights,2019
Mason Plumlee,plumlma01,DEN,12917808,Cap space,2019
Wilson Chandler,chandwi01,LAC,12800562,,2019
Nikola Vucevic,vucevni01,ORL,12750000,Bird Rights,2019
Jordan Clarkson,clarkjo01,CLE,12500000,Cap Space,2019
Miles Plumlee,plumlmi01,ATL,12500000,Bird Rights,2019
Nikola Mirotic,mirotni01,MIL,12500000,Cap space,2019
Tyreke Evans,evansty01,IND,12400000,,2019
Courtney Lee,leeco01,DAL,12253780,Cap Space,2019
Solomon Hill,hillso01,NOP,12252928,Cap Space,2019
J.J. Redick,redicjj01,PHI,12250000,,2019
Kelly Olynyk,olynyke01,MIA,12137527,Cap space,2019
Avery Bradley,bradlav01,MEM,12000000,,2019
Austin Rivers,riverau01,PHO,12000000,,2019
Kentavious Caldwell-Pope,caldwke01,LAL,12000000,,2019
Kemba Walker,walkeke02,CHO,12000000,1st Round Pick,2019
Will Barton,bartowi01,DEN,11830358,,2019
T.J. Warren,warretj01,PHO,11750000,1st Round Pick,2019
Zach Randolph,randoza01,DAL,11692308,,2019
Marcus Smart,smartma01,BOS,11660716,,2019
Patty Mills,millspa02,SAS,11571429,Bird Rights,2019
Dion Waiters,waitedi01,MIA,11550000,Cap space,2019
Alec Burks,burksal01,SAC,11536515,1st Round Pick,2019
John Henson,hensojo01,CLE,11327466,1st Round Pick,2019
Jusuf Nurkic,nurkiju01,POR,11111111,,2019
Iman Shumpert,shumpim01,HOU,11011234,Bird Rights,2019
Maurice Harkless,harklma01,POR,10837079,Cap Space,2019
Tony Snell,snellto01,MIL,10607143,Cap space,2019
Meyers Leonard,leoname01,POR,10595506,Cap Space,2019
Terrence Ross,rosste01,ORL,10500000,Rookie scale extension,2019
Bojan Bogdanovic,bogdabo02,IND,10500000,Cap space,2019
Robert Covington,covinro01,MIN,10464092,Cap Space,2019
Rudy Gay,gayru01,SAS,10087200,Non-Bird Rights,2019
Jon Leuer,leuerjo01,DET,10002681,Cap Space,2019
Andre Roberson,roberan03,OKC,10000000,Bird Rights,2019
Danny Green,greenda02,TOR,10000000,Bird Rights,2019
Darren Collison,collida01,IND,10000000,Cap space,2019
Dwight Powell,poweldw01,DAL,9631250,Cap Space,2019
Matthew Dellavedova,dellama01,CLE,9607500,Cap Space,2019
Dante Exum,exumda01,UTA,9600000,Cap Space,2019
Jared Dudley,dudleja01,BRK,9530000,Cap Space,2019
Norman Powell,powelno01,TOR,9367200,Cap Space,2019
Josh Richardson,richajo01,MIA,9367200,Minimum Salary,2019
Bogdan Bogdanovic,bogdabo01,SAC,9000000,Cap space,2019
Rajon Rondo,rondora01,LAL,9000000,,2019
E'Twaun Moore,mooreet01,NOP,8808685,Cap Space,2019
Kosta Koufos,koufoko01,SAC,8739500,Cap Space,2019
Jerami Grant,grantje01,OKC,8653847,,2019
Fred VanVleet,vanvlfr01,TOR,8653847,Bird Rights,2019
Kyle Anderson,anderky01,MEM,8641000,MLE,2019
Julius Randle,randlju01,NOP,8641000,MLE,2019
Markieff Morris,morrima02,NOP,8600000,,2019
Jerryd Bayless,bayleje01,MIN,8575916,Cap Space,2019
Cristiano Felicio,feliccr01,CHI,8470980,Cap space,2019
Markelle Fultz,fultzma01,ORL,8339880,1st Round Pick,2019
C.J. Miles,milescj01,MEM,8333333,MLE,2019
Joe Harris,harrijo01,BRK,8333333,Early Bird Rights,2019
Shaun Livingston,livinsh01,GSW,8307692,Bird Rights,2019
Deandre Ayton,aytonde01,PHO,8165160,1st Round Pick,2019
Lou Williams,willilo02,LAC,8000000,Cap Space,2019
Garrett Temple,templga01,LAC,8000000,Cap Space,2019
P.J. Tucker,tuckepj01,HOU,7969537,MLE,2019
Cory Joseph,josepco01,IND,7945000,Cap Space,2019
JaMychal Green,greenja01,LAC,7866667,Bird Rights,2019
Karl-Anthony Towns,townska01,MIN,7839435,1st round pick,2019
Kyle Korver,korveky01,UTA,7560000,Bird Rights,2019
Jeremy Lamb,lambje01,CHO,7488372,Rookie scale extension,2019
Darrell Arthur,arthuda01,PHO,7464912,,2019
Lonzo Ball,balllo01,LAL,7461960,1st Round Pick,2019
Doug McDermott,mcderdo01,IND,7333334,,2019
Jae Crowder,crowdja01,UTA,7305825,Bird Rights,2019
Marvin Bagley,baglema01,SAC,7305600,1st Round Pick,2019
D.J. Augustin,augusdj01,ORL,7250000,Cap Space,2019
Dewayne Dedmon,dedmode01,ATL,7200000,Cap space,2019
Lance Thomas,thomala01,NYK,7119650,Cap Space,2019
D'Angelo Russell,russeda01,BRK,7019698,1st round pick,2019
Langston Galloway,gallola01,DET,7000000,MLE,2019
Davis Bertans,bertada01,SAS,7000000,Early Bird Rights,2019
Ersan Ilyasova,ilyaser01,MIL,7000000,MLE,2019
Boban Marjanovic,marjabo01,PHI,7000000,Cap Space,2019
Al-Farouq Aminu,aminual01,POR,6957105,Cap Space,2019
Jayson Tatum,tatumja01,BOS,6700800,1st Round Pick,2019
Luka Doncic,doncilu01,DAL,6560640,1st Round Pick,2019
Nemanja Bjelica,bjeline01,SAC,6500000,,2019
Mario Hezonja,hezonma01,NYK,6500000,MLE,2019
Ben Simmons,simmobe01,PHI,6434520,1st Round pick,2019
Milos Teodosic,teodomi01,LAC,6300000,,2019
Wayne Ellington,ellinwa01,PHO,6270000,,2019
Marco Belinelli,belinma01,SAS,6153846,MLE,2019
Wesley Johnson,johnswe01,WAS,6134520,,2019
Josh Jackson,jacksjo02,PHO,6041520,1st Round Pick,2019
Montrezl Harrell,harremo01,LAC,6000000,,2019
Jonathon Simmons,simmojo02,PHI,6000000,Cap space,2019
Ish Smith,smithis01,DET,6000000,Cap Space,2019
Jaren Jackson,jacksja02,MEM,5915040,1st Round Pick,2019
Brandon Ingram,ingrabr01,LAL,5757120,1st Round pick,2019
Anthony Tolliver,tollian01,MIN,5750000,MLE,2019
Kristaps Porzingis,porzikr01,DAL,5697054,1st round pick,2019
Deron Williams,willide01,BRK,5474787,,2019
De'Aaron Fox,foxde01,SAC,5470920,1st Round Pick,2019
Ben McLemore,mclembe01,SAC,5460000,,2019
Alex Abrines,abrinal01,OKC,5455236,,2019
Patrick Patterson,pattepa01,OKC,5451600,MLE,2019
Jason Smith,smithja02,NOP,5450000,,2019
Marcus Morris,morrima03,BOS,5375000,Bird Rights,2019
Trae Young,youngtr01,ATL,5356440,1st Round Pick,2019
Dwight Howard,howardw01,WAS,5337000,MLE,2019
DeMarcus Cousins,couside01,GSW,5337000,MLE,2019
Josh Smith,smithjo03,DET,5331729,,2019
Alexis Ajinca,ajincal01,LAC,5285394,,2019
Thabo Sefolosha,sefolth01,UTA,5250000,Cap space,2019
Aron Baynes,baynear01,BOS,5193600,,2019
Jaylen Brown,brownja02,BOS,5169960,1st Rd pick,2019
Patrick Beverley,beverpa01,LAC,5027028,Bird Rights,2019
Mike Muscala,muscami01,LAL,5000000,Cap space,2019
Dirk Nowitzki,nowitdi01,DAL,5000000,Cap Space,2019
Tony Parker,parketo01,CHO,5000000,MLE,2019
Jonathan Isaac,isaacjo01,ORL,4969080,1st Round Pick,2019
Mohamed Bamba,bambamo01,ORL,4865040,1st Round Pick,2019
Willie Cauley-Stein,caulewi01,SAC,4696875,1st round pick,2019
Dragan Bender,bendedr01,PHO,4661280,1st Round pick,2019
Ron Baker,bakerro01,NYK,4544400,,2019
Lauri Markkanen,markkla01,CHI,4536120,1st Round Pick,2019
Lance Stephenson,stephla01,LAL,4449000,,2019
Kyle O'Quinn,oquinky01,IND,4449000,Room Exception,2019
Ed Davis,davised01,BRK,4449000,Room Exception,2019
Wendell Carter,cartewe01,CHI,4441200,1st Round Pick,2019
Justin Holiday,holidju01,MEM,4384616,MLE,2019
Alex Len,lenal01,ATL,4350000,Room Exception,2019
Mike Scott,scottmi01,PHI,4320500,MLE,2019
Luc Mbah a Moute,mbahalu01,LAC,4320500,,2019
Emmanuel Mudiay,mudiaem01,NYK,4294480,1st round pick,2019
Kris Dunn,dunnkr01,CHI,4221000,1st Round pick,2019
Frank Ntilikina,ntilila01,NYK,4155720,1st Round Pick,2019
Glenn Robinson,robingl02,DET,4075000,MLE,2019
Collin Sexton,sextoco01,CLE,4068600,1st Round Pick,2019
Al Jefferson,jeffeal01,IND,4000000,,2019
Stanley Johnson,johnsst04,NOP,3940402,1st round pick,2019
Buddy Hield,hieldbu01,SAC,3833760,1st Round pick,2019
Dennis Smith,smithde03,NYK,3819960,1st Round Pick,2019
Kevin Knox,knoxke01,NYK,3739920,1st Round Pick,2019
J.J. Barea,bareajo01,DAL,3710850,Cap Space,2019
Nene Hilario,hilarne01,HOU,3651480,Non-Bird Rights,2019
Zach Collins,colliza01,POR,3628920,1st Round Pick,2019
Frank Kaminsky,kaminfr01,CHO,3627842,1st round pick,2019
Mikal Bridges,bridgmi01,PHO,3552960,1st Round Pick,2019
Mirza Teletovic,teletmi01,MIL,3500000,,2019
Michael Beasley,beaslmi01,LAC,3500000,,2019
Jamal Murray,murraja01,DEN,3499800,1st Round pick,2019
Rodney Hood,hoodro01,POR,3472887,,2019
Jodie Meeks,meeksjo01,MIL,3454500,,2019
Justise Winslow,winslju01,MIA,3448926,1st round pick,2019
Malik Monk,monkma01,CHO,3447480,1st Round Pick,2019
Myles Turner,turnemy01,IND,3410284,1st round pick,2019
Allonzo Trier,trieral01,NYK,3382000,Bi-Annual Exception,2019
Brook Lopez,lopezbr01,MIL,3382000,Bi-annual Exception,2019
Shai Gilgeous-Alexander,gilgesh01,LAC,3375360,1st Round Pick,2019
Trey Lyles,lylestr01,DEN,3364249,1st round pick,2019
Ekpe Udoh,udohek01,UTA,3360000,Room Exception,2019
Devin Booker,bookede01,PHO,3314365,1st round pick,2019
Luke Kennard,kennalu01,DET,3275280,1st Round Pick,2019
Cameron Payne,payneca01,CHI,3263295,,2019
Troy Daniels,danietr01,PHO,3258539,Cap Space,2019
Kelly Oubre,oubreke01,PHO,3208630,1st round pick,2019
Miles Bridges,bridgmi02,CHO,3206640,1st Round Pick,2019
Marquese Chriss,chrisma01,CLE,3206160,1st Rd pick,2019
Tomas Satoransky,satorto01,WAS,3129187,Cap Space,2019
Bryn Forbes,forbebr01,SAS,3125000,Early Bird Rights,2019
Donovan Mitchell,mitchdo01,UTA,3111480,1st Round Pick,2019
Terry Rozier,roziete01,BOS,3050390,1st round pick,2019
Jerome Robinson,robinje01,LAC,3046200,1st Round Pick,2019
Yogi Ferrell,ferreyo01,SAC,3000000,Cap Space,2019
Elfrid Payton,paytoel01,NOP,3000000,Bi-annual Exception,2019
Bam Adebayo,adebaba01,MIA,2955840,1st Round Pick,2019
Jakob Poeltl,poeltja01,SAS,2947320,1st Round pick,2019
Michael Porter,portemi01,DEN,2894160,1st Round Pick,2019
Andrew Nicholson,nichoan01,POR,2844429,,2019
Justin Jackson,jacksju01,DAL,2807880,1st Round Pick,2019
Thon Maker,makerth01,DET,2799720,1st Round pick,2019
Seth Curry,curryse01,POR,2795000,MLE,2019
Cedi Osman,osmande01,CLE,2775000,MLE,2019
Sam Dekker,dekkesa01,WAS,2760095,1st Round pick,2019
Troy Brown,browntr01,WAS,2749080,1st Round Pick,2019
Guerschon Yabusele,yabusgu01,BOS,2667600,1st Round Pick,2019
Justin Patton,pattoju01,PHI,2667600,,2019
Domantas Sabonis,sabondo01,IND,2659800,1st Round pick,2019
Jerian Grant,grantje02,ORL,2639314,1st Round pick,2019
Zhaire Smith,smithzh01,PHI,2611800,1st Round Pick,2019
Delon Wright,wrighde01,MEM,2536898,1st Round pick,2019
D.J. Wilson,wilsodj01,MIL,2534280,1st Round Pick,2019
Dario Saric,saricda01,MIN,2526840,1st Round pick,2019
Taurean Prince,princta02,ATL,2526840,1st Round pick,2019
Justin Anderson,anderju01,ATL,2516048,1st Round pick,2019
Manu Ginobili,ginobma01,SAS,2500000,,2019
Dante Cunningham,cunnida01,SAS,2500000,Bi-annual Exception,2019
Reggie Bullock,bullore01,LAL,2500000,Cap space,2019
Bobby Portis,portibo01,WAS,2494346,1st Round pick,2019
Donte DiVincenzo,divindo01,MIL,2481000,1st Round Pick,2019
Rondae Hollis-Jefferson,holliro01,BRK,2470357,1st Round pick,2019
Tyus Jones,jonesty01,MIN,2444053,1st Round pick,2019
Jarell Martin,martija01,ORL,2416222,1st Round pick,2019
T.J. Leaf,leaftj01,IND,2407560,1st Round Pick,2019
Jeff Green,greenje02,WAS,2393887,Minimum Salary,2019
Amir Johnson,johnsam01,PHI,2393887,Minimum Salary,2019
Raymond Felton,feltora01,OKC,2393887,Minimum Salary,2019
Luol Deng,denglu01,MIN,2393887,,2019
Udonis Haslem,hasleud01,MIA,2393887,Minimum Salary,2019
Dwyane Wade,wadedw01,MIA,2393887,Minimum Salary,2019
JaVale McGee,mcgeeja01,LAL,2393887,Minimum Salary,2019
Gerald Green,greenge01,HOU,2393887,Minimum Salary,2019
Andrew Bogut,bogutan01,GSW,2393887,Minimum Salary,2019
Jose Calderon,caldejo01,DET,2393887,Minimum Salary,2019
Zaza Pachulia,pachuza01,DET,2393887,Minimum Salary,2019
Devin Harris,harride01,DAL,2393887,Minimum Salary,2019
Channing Frye,fryech01,CLE,2393887,Minimum Salary,2019
Carmelo Anthony,anthoca01,CHI,2393887,,2019
Vince Carter,cartevi01,ATL,2393887,Minimum Salary,2019
Jamal Crawford,crawfja01,PHO,2393887,,2019
Tyson Chandler,chandty01,LAL,2393887,,2019
Wayne Ellington,ellinwa01,DET,2383076,,2019
Lonnie Walker,walkelo01,SAS,2357160,1st Round Pick,2019
Jamal Crawford,crawfja01,ATL,2304226,,2019
John Collins,collijo01,ATL,2299080,1st Round Pick,2019
Denzel Valentine,valende01,CHI,2280600,1st Round pick,2019
Larry Nance,nancela02,CLE,2272391,1st Round pick,2019
Kevin Huerter,huertke01,ATL,2250960,1st Round Pick,2019
Monta Ellis,ellismo01,IND,2245400,,2019
Harry Giles,gilesha01,SAC,2207040,1st Round Pick,2019
Darius Miller,milleda01,NOP,2205000,MLE,2019
Derrick Rose,rosede01,MIN,2176260,Minimum Salary,2019
Omri Casspi,casspom01,MEM,2176260,,2019
Juan Hernangomez,hernaju01,DEN,2166360,1st Round pick,2019
Quincy Pondexter,pondequ01,SAS,2165481,,2019
Jonas Jerebko,jerebjo01,GSW,2165481,Minimum Salary,2019
Greg Monroe,monrogr01,BRK,2165481,,2019
Josh Okogie,okogijo01,MIN,2160720,1st Round Pick,2019
Raul Neto,netora01,UTA,2150000,,2019
Matt Barnes,barnema02,SAC,2133542,,2019
Terrance Ferguson,fergute01,OKC,2118840,1st Round Pick,2019
Grayson Allen,allengr01,UTA,2074320,1st Round Pick,2019
Jarrett Allen,allenja01,BRK,2034120,1st Round Pick,2019
Isaiah Thomas,thomais02,DEN,2029463,Minimum Salary,2019
Shelvin Mack,macksh01,CHO,2029463,Minimum Salary,2019
Spencer Hawes,hawessp01,MIL,2007058,,2019
Georgios Papagiannis,papagge01,SAC,2000400,,2019
Torrey Craig,craigto01,DEN,2000000,MLE,2019
Corey Brewer,breweco01,SAC,2000000,,2019
Chandler Hutchison,hutchch01,CHI,1991520,1st Round Pick,2019
OG Anunoby,anunoog01,TOR,1952760,1st Round Pick,2019
Ante Zizic,zizican01,CLE,1952760,1st Round Pick,2019
Shabazz Napier,napiesh01,BRK,1942422,Cap Space,2019
Anderson Varejao,varejan01,POR,1913345,,2019
Aaron Holiday,holidaa01,IND,1911960,1st Round Pick,2019
Tim Duncan,duncati01,SAS,1881250,,2019
Tyler Lydon,lydonty01,DEN,1874640,1st Round Pick,2019
Larry Sanders,sandela01,MIL,1865547,,2019
Henry Ellenson,ellenhe01,DET,1857480,,2019
Anfernee Simons,simonan01,POR,1835520,1st Round Pick,2019
Trey Burke,burketr01,DAL,1795015,Minimum Salary,2019
Malik Beasley,beaslma01,DEN,1773840,1st Round pick,2019
Moritz Wagner,wagnemo01,LAL,1762080,1st Round Pick,2019
Nerlens Noel,noelne01,OKC,1757429,Minimum Salary,2019
Ian Clark,clarkia01,NOP,1757429,Minimum Salary,2019
Caleb Swanigan,swanica01,SAC,1740000,1st Round Pick,2019
Furkan Korkmaz,korkmfu01,PHI,1740000,1st Round Pick,2019
Joakim Noah,noahjo01,MEM,1731173,,2019
Landry Shamet,shamela01,LAC,1703640,1st Round Pick,2019
Caris LeVert,leverca01,BRK,1702800,1st Round pick,2019
Jonah Bolden,boldejo01,PHI,1690000,,2019
Kyle Kuzma,kuzmaky01,LAL,1689840,1st Round Pick,2019
Tony Bradley,bradlto01,UTA,1679520,1st Round Pick,2019
Derrick White,whitede01,SAS,1667160,1st Round Pick,2019
Spencer Dinwiddie,dinwisp01,BRK,1656092,Minimum Salary,2019
MarShon Brooks,brookma01,CHI,1656092,,2019
Josh Hart,hartjo01,LAL,1655160,1st Round Pick,2019
Robert Williams,williro04,BOS,1654440,1st Round Pick,2019
Jacob Evans,evansja02,GSW,1644240,1st Round Pick,2019
Pat Connaughton,connapa01,MIL,1641000,,2019
DeAndre' Bembry,bembrde01,ATL,1634640,1st Round pick,2019
Dzanan Musa,musadz01,BRK,1632240,1st Round Pick,2019
James Ennis,ennisja01,PHI,1621415,,2019
Noah Vonleh,vonleno01,NYK,1621415,Minimum Salary,2019
Tim Frazier,fraziti01,NOP,1621415,,2019
Nik Stauskas,stausni01,IND,1621415,,2019
Omari Spellman,spellom01,ATL,1620480,1st Round Pick,2019
Luke Kornet,kornelu01,NYK,1619000,,2019
Rodions Kurucs,kurucro01,BRK,1618320,,2019
Richaun Holmes,holmeri01,PHO,1600520,Cap Space,2019
T.J. McConnell,mccontj01,PHI,1600520,Minimum Salary,2019
Malachi Richardson,richama01,PHI,1569360,,2019
Jahlil Okafor,okafoja01,NOP,1567007,Minimum Salary,2019
Kevon Looney,looneke01,GSW,1567007,,2019
Salah Mejri,mejrisa01,DAL,1567007,,2019
Pascal Siakam,siakapa01,TOR,1544951,1st Round pick,2019
Skal Labissiere,labissk01,POR,1544951,1st Round pick,2019
Dejounte Murray,murrade01,SAS,1544951,1st Round pick,2019
Damian Jones,jonesda03,GSW,1544951,1st Round pick,2019
Deyonta Davis,davisde01,SAC,1544951,,2019
Jake Layman,laymaja01,POR,1544951,Cap Space,2019
Cheick Diallo,diallch01,NOP,1544951,Minimum Salary,2019
Malcolm Brogdon,brogdma01,MIL,1544951,Cap Space,2019
Ivica Zubac,zubaciv01,LAC,1544951,Cap Space,2019
Rodney McGruder,mcgruro01,LAC,1544951,Minimum Salary,2019
Wade Baldwin,baldwwa01,IND,1544951,,2019
Quinn Cook,cookqu01,GSW,1544951,,2019
Chinanu Onuaku,onuakch01,DAL,1544951,,2019
Dorian Finney-Smith,finnedo01,DAL,1544951,Minimum Salary,2019
Willy Hernangomez,hernawi01,CHO,1544951,Cap Space,2019
Timothe Luwawu-Cabarrot,luwawti01,CHI,1544951,1st Round pick,2019
Wayne Selden,seldewa01,CHI,1544951,,2019
Georges Niang,niangge01,UTA,1512601,,2019
Christian Wood,woodch01,NOP,1512601,Minimum Salary,2019
Derrick Jones,jonesde02,MIA,1512601,Minimum Salary,2019
David Nwaba,nwabada01,CLE,1512601,Minimum Salary,2019
Treveon Graham,grahatr01,BRK,1512601,Minimum Salary,2019
Sviatoslav Mykhailiuk,mykhasv01,DET,1487694,Cap Space,2019
Mitchell Robinson,robinmi01,NYK,1485440,MLE,2019
Jordan Bell,belljo01,GSW,1378252,Minimum Salary,2019
Wesley Iwundu,iwundwe01,ORL,1378242,,2019
Sterling Brown,brownst02,MIL,1378242,MLE,2019
Semi Ojeleye,ojelese01,BOS,1378242,,2019
Frank Jackson,jacksfr01,NOP,1378242,MLE,2019
Ivan Rabb,rabbiv01,MEM,1378242,MLE,2019
Thomas Bryant,bryanth01,WAS,1378242,Minimum Salary,2019
Royce O'Neale,onealro01,UTA,1378242,Cap space,2019
Frank Mason,masonfr01,SAC,1378242,,2019
Davon Reed,reedda01,PHO,1378242,,2019
Khem Birch,birchkh01,ORL,1378242,Minimum Salary,2019
Abdel Nader,naderab01,OKC,1378242,,2019
Damyean Dotson,dotsoda01,NYK,1378242,Minimum Salary,2019
Rade Zagorac,zagorra01,MEM,1378242,,2019
Dillon Brooks,brookdi01,MEM,1378242,MLE,2019
Tyler Dorsey,dorsety01,MEM,1378242,Minimum Salary,2019
Jawun Evans,evansja01,LAC,1378242,,2019
Sindarius Thornwell,thornsi01,LAC,1378242,MLE,2019
Ike Anigbogu,anigbik01,IND,1378242,,2019
Maxi Kleber,klebima01,DAL,1378242,Minimum Salary,2019
Dwayne Bacon,bacondw01,CHO,1378242,MLE,2019
Daniel Theis,theisda01,BOS,1378242,Minimum Salary,2019
Kevin Martin,martike02,MIN,1360304,,2019
Monte Morris,morrimo01,DEN,1349383,Minimum Salary,2019
Antonio Blakeney,blakean01,CHI,1349383,Minimum Salary,2019
Tyrone Wallace,wallaty01,LAC,1349383,Minimum Salary,2019
Alfonzo McKinnie,mckinal01,GSW,1349383,Minimum Salary,2019
Ryan Arcidiacono,arcidry01,CHI,1349383,Minimum Salary,2019
Jabari Bird,birdja01,ATL,1349383,,2019
Daniel Hamilton,hamilda02,ATL,1349383,,2019
Shaquille Harrison,harrish01,CHI,1311265,,2019
Elie Okobo,okoboel01,PHO,1238464,,2019
Jalen Brunson,brunsja01,DAL,1230000,Cap Space,2019
Michael Carter-Williams,cartemi01,CHI,1200000,,2019
Austin Rivers,riverau01,HOU,1155323,,2019
Melvin Frazier,frazime01,ORL,1050000,MLE,2019
Isaac Bonga,bongais01,LAL,1000000,,2019
Justin Hamilton,hamilju01,TOR,1000000,,2019
Shelvin Mack,macksh01,ORL,1000000,,2019
Kyle Singler,singlky01,OKC,999200,,2019
Devonte' Graham,grahade01,CHO,988464,MLE,2019
Isaiah Taylor,taylois01,CLE,950000,,2019
De'Anthony Melton,meltode01,PHO,949000,,2019
Jason Thompson,thompja02,GSW,945126,,2019
Kenneth Faried,farieke01,HOU,917272,,2019
